name,main_category,sub_category,image,link,ratings,no_of_ratings,price
EEMWAY sky blue Color rack,Furniture,Racks,https://m.media-amazon.com/images/I/61IYvBy65YL._AC_UL320_.jpg,https://www.amazon.in/EEMWAY-Fabric-Portable-4-laier-SkyBlue/dp/B084DQZCQ4/ref=sr_1_439?qid=1679212906&s=kitchen&sr=1-439,3.8,1347,204
Snazzy 5 Tier Foldable Metal rack ( Grey),Furniture,Racks,https://m.media-amazon.com/images/I/519s3uO0fKL._AC_UL320_.jpg,https://www.amazon.in/Snazzy-Foldable-Bookshelf-Bookcase-Bookrack/dp/B099ZLX7QG/ref=sr_1_485?qid=1679212908&s=kitchen&sr=1-485,3.8,102,1385
Nivia Training_3 Shorts for Men,Sports & Fitness,Men's shorts,https://m.media-amazon.com/images/I/61CLnNn-UgL._AC_UL320_.jpg,https://www.amazon.in/Nivia-5080-NIVIA-Training-Short-3/dp/B089L4TMRS/ref=sr_1_1456?qid=1679217858&s=sports&sr=1-1456,3.8,82,487
Bourge Men's Loire-z126 Running Shoes,Sports & Fitness,Sports Shoes,https://m.media-amazon.com/images/I/71fC87DbLHL._AC_UL320_.jpg,https://www.amazon.in/Bourge-Loire-63-Running-Shoes-9-Loire-63-D-Grey-09/dp/B07MPZ1B3C/ref=sr_1_20?qid=1679147183&s=shoes&sr=1-20,3.8,28719,493.92
Qatalyze Extra Large and Thick NBR Yoga Mat ,Sports & Fitness,Yoga Mats,https://m.media-amazon.com/images/I/91XxIoOAqLS._AC_UL320_.jpg,https://www.amazon.in/Qatalyze-Extra-Strong-Exercise-Workout/dp/B08X7FT1D1/ref=sr_1_79?qid=1679217838&s=sports&sr=1-79,3.8,608,999
DEVMA Narains Packaging Green Yoga Mat,Sports & Fitness,Yoga Mats,https://m.media-amazon.com/images/I/71+xP1RLgAL._AC_UL320_.jpg,https://www.amazon.in/Narains-Packaging-Green-Non-Slippery-Washable/dp/B079RCMLPZ/ref=sr_1_94?qid=1679217838&s=sports&sr=1-94,3.8,121,208
Centrino Men's Formal Shoes,clothing,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71gU0tHpqrL._AC_UL320_.jpg,https://www.amazon.in/Centrino-Black-Formal-Shoes-8-9383-003/dp/B075Z4DJMY/ref=sr_1_15?qid=1679147878&s=shoes&sr=1-15,3.8,5604,559
FENTACIA Men Leather Formal Shoes,clothing,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71u7m2bPnbL._AC_UL320_.jpg,https://www.amazon.in/FENTACIA-Black-Genuine-Leather-Formal/dp/B09J97NNFV/ref=sr_1_27?qid=1679147878&s=shoes&sr=1-27,3.8,5849,1000
ADAMO Women's Watch,clothing,Watches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61uY-wl4OdL._AC_UL320_.jpg,https://www.amazon.in/ADAMO-Analog-Rose-Womens-Watch-839KKM21/dp/B07QXKK81H/ref=sr_1_43?qid=1679155582&s=watches&sr=1-43,3.8,4390,296
SKYLOFTS Women Watches Watch,clothing,Watches,https://m.media-amazon.com/images/I/61SfxduOmKL._AC_UL320_.jpg,https://www.amazon.in/SKYLOFTS-Gold-Plated-Movement-Analogue-Gold/dp/B07XLQWKZW/ref=sr_1_203?qid=1679155590&s=watches&sr=1-203,3.8,1004,625
